# TBinMid=3.71519 ssec TBinWidth=7.77057 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.86000000E-02   6.90186189E+08   6.87006252E+08   6.87006252E+08   7.08534901E+08   7.29383179E+08   7.29383179E+08
   1.88000000E-02   6.69556026E+08   6.65868712E+08   6.65868712E+08   6.90606028E+08   7.10058829E+08   7.10058829E+08
   1.90000000E-02   6.49424201E+08   6.45266880E+08   6.45266880E+08   6.72973353E+08   6.91067248E+08   6.91067248E+08
   1.92000000E-02   6.29786223E+08   6.25194760E+08   6.25194760E+08   6.55640651E+08   6.72413185E+08   6.72413185E+08
   1.94000000E-02   6.10637055E+08   6.05645826E+08   6.05645826E+08   6.38611048E+08   6.54100565E+08   6.54100565E+08
   1.96000000E-02   5.91971170E+08   5.86613082E+08   5.86613082E+08   6.21887059E+08   6.36132537E+08   6.36132537E+08
   1.98000000E-02   5.73782601E+08   5.68089117E+08   5.68089117E+08   6.05470624E+08   6.18511520E+08   6.18511520E+08
   2.00000000E-02   5.56064988E+08   5.50066151E+08   5.50066151E+08   5.89363139E+08   6.01239248E+08   6.01239248E+08
   2.02000000E-02   5.38811623E+08   5.32536086E+08   5.32536086E+08   5.73565493E+08   5.84316810E+08   5.84316810E+08
   2.04000000E-02   5.22015491E+08   5.15490546E+08   5.15490546E+08   5.58078094E+08   5.67744692E+08   5.67744692E+08
   2.06000000E-02   5.05669306E+08   4.98920919E+08   4.98920919E+08   5.42900902E+08   5.51522819E+08   5.51522819E+08
   2.08000000E-02   4.89765554E+08   4.82818394E+08   4.82818394E+08   5.28033459E+08   5.35650589E+08   5.35650589E+08
   2.10000000E-02   4.74296518E+08   4.67173995E+08   4.67173995E+08   5.13474914E+08   5.20126910E+08   5.20126910E+08
   2.12000000E-02   4.59254317E+08   4.51978616E+08   4.51978616E+08   4.99224051E+08   5.04950238E+08   5.04950238E+08
   2.14000000E-02   4.44630928E+08   4.37223045E+08   4.37223045E+08   4.85279316E+08   4.90118607E+08   4.90118607E+08
   2.16000000E-02   4.30418220E+08   4.22897999E+08   4.22897999E+08   4.71638835E+08   4.75629662E+08   4.75629662E+08
   2.18000000E-02   4.16607973E+08   4.08994143E+08   4.08994143E+08   4.58300448E+08   4.61480690E+08   4.61480690E+08
   2.20000000E-02   4.03191904E+08   3.95502117E+08   3.95502117E+08   4.45261720E+08   4.47668648E+08   4.47668648E+08
   2.22000000E-02   3.90161687E+08   3.82412554E+08   3.82412554E+08   4.32519969E+08   4.34190189E+08   4.34190189E+08
   2.24000000E-02   3.77508974E+08   3.69716105E+08   3.69716105E+08   4.20072284E+08   4.21041694E+08   4.21041694E+08
   2.26000000E-02   3.65225412E+08   3.57403448E+08   3.57403448E+08   4.07915545E+08   4.08219289E+08   4.08219289E+08
   2.28000000E-02   3.53302659E+08   3.45465315E+08   3.45465315E+08   3.96046440E+08   3.95718876E+08   3.95718876E+08
   2.30000000E-02   3.41732400E+08   3.33892498E+08   3.33892498E+08   3.84461484E+08   3.83536151E+08   3.83536151E+08
   2.32000000E-02   3.30506360E+08   3.22675864E+08   3.22675864E+08   3.73157033E+08   3.71666626E+08   3.71666626E+08
   2.34000000E-02   3.19616317E+08   3.11806372E+08   3.11806372E+08   3.62129304E+08   3.60105650E+08   3.60105650E+08
   2.36000000E-02   3.09054113E+08   3.01275078E+08   3.01275078E+08   3.51374384E+08   3.48848428E+08   3.48848428E+08
   2.38000000E-02   2.98811665E+08   2.91073146E+08   2.91073146E+08   3.40888249E+08   3.37890039E+08   3.37890039E+08
   2.40000000E-02   2.88880975E+08   2.81191859E+08   2.81191859E+08   3.30666776E+08   3.27225450E+08   3.27225450E+08
   2.42000000E-02   2.79254133E+08   2.71622624E+08   2.71622624E+08   3.20705753E+08   3.16849537E+08   3.16849537E+08
   2.44000000E-02   2.69923332E+08   2.62356978E+08   2.62356978E+08   3.11000895E+08   3.06757095E+08   3.06757095E+08
   2.46000000E-02   2.60880870E+08   2.53386598E+08   2.53386598E+08   3.01547851E+08   2.96942857E+08   2.96942857E+08
   2.48000000E-02   2.52119156E+08   2.44703299E+08   2.44703299E+08   2.92342218E+08   2.87401501E+08   2.87401501E+08
   2.50000000E-02   2.43630717E+08   2.36299047E+08   2.36299047E+08   2.83379549E+08   2.78127668E+08   2.78127668E+08
   2.52000000E-02   2.35408199E+08   2.28165954E+08   2.28165954E+08   2.74655363E+08   2.69115970E+08   2.69115970E+08
   2.54000000E-02   2.27444376E+08   2.20296285E+08   2.20296285E+08   2.66165153E+08   2.60361002E+08   2.60361002E+08
   2.56000000E-02   2.19732148E+08   2.12682463E+08   2.12682463E+08   2.57904396E+08   2.51857352E+08   2.51857352E+08
   2.58000000E-02   2.12264547E+08   2.05317063E+08   2.05317063E+08   2.49868558E+08   2.43599609E+08   2.43599609E+08
   2.60000000E-02   2.05034737E+08   1.98192823E+08   1.98192823E+08   2.42053103E+08   2.35582374E+08   2.35582374E+08
   2.62000000E-02   1.98036018E+08   1.91302636E+08   1.91302636E+08   2.34453499E+08   2.27800266E+08   2.27800266E+08
   2.64000000E-02   1.91261825E+08   1.84639556E+08   1.84639556E+08   2.27065224E+08   2.20247929E+08   2.20247929E+08
   2.66000000E-02   1.84705731E+08   1.78196796E+08   1.78196796E+08   2.19883773E+08   2.12920041E+08   2.12920041E+08
   2.68000000E-02   1.78361446E+08   1.71967728E+08   1.71967728E+08   2.12904663E+08   2.05811318E+08   2.05811318E+08
   2.70000000E-02   1.72222817E+08   1.65945883E+08   1.65945883E+08   2.06123437E+08   1.98916522E+08   1.98916522E+08
   2.72000000E-02   1.66283831E+08   1.60124948E+08   1.60124948E+08   1.99535668E+08   1.92230462E+08   1.92230462E+08
   2.74000000E-02   1.60538611E+08   1.54498768E+08   1.54498768E+08   1.93136965E+08   1.85748003E+08   1.85748003E+08
   2.76000000E-02   1.54981417E+08   1.49061343E+08   1.49061343E+08   1.86922977E+08   1.79464071E+08   1.79464071E+08
   2.78000000E-02   1.49606646E+08   1.43806825E+08   1.43806825E+08   1.80889395E+08   1.73373650E+08   1.73373650E+08
   2.80000000E-02   1.44408828E+08   1.38729519E+08   1.38729519E+08   1.75031956E+08   1.67471796E+08   1.67471796E+08
   2.82000000E-02   1.39382631E+08   1.33823879E+08   1.33823879E+08   1.69346446E+08   1.61753628E+08   1.61753628E+08
   2.84000000E-02   1.34522852E+08   1.29084508E+08   1.29084508E+08   1.63828703E+08   1.56214343E+08   1.56214343E+08
   2.86000000E-02   1.29824420E+08   1.24506153E+08   1.24506153E+08   1.58474619E+08   1.50849208E+08   1.50849208E+08
   2.88000000E-02   1.25282395E+08   1.20083705E+08   1.20083705E+08   1.53280142E+08   1.45653570E+08   1.45653570E+08
   2.90000000E-02   1.20891964E+08   1.15812196E+08   1.15812196E+08   1.48241278E+08   1.40622852E+08   1.40622852E+08
   2.92000000E-02   1.16648439E+08   1.11686796E+08   1.11686796E+08   1.43354093E+08   1.35752559E+08   1.35752559E+08
   2.94000000E-02   1.12547259E+08   1.07702811E+08   1.07702811E+08   1.38614714E+08   1.31038277E+08   1.31038277E+08
   2.96000000E-02   1.08583983E+08   1.03855681E+08   1.03855681E+08   1.34019332E+08   1.26475675E+08   1.26475675E+08
   2.98000000E-02   1.04754289E+08   1.00140974E+08   1.00140974E+08   1.29564201E+08   1.22060503E+08   1.22060503E+08
   3.00000000E-02   1.01053977E+08   9.65543902E+07   9.65543902E+07   1.25245638E+08   1.17788598E+08   1.17788598E+08
   3.02000000E-02   9.74789585E+07   9.30917513E+07   9.30917513E+07   1.21060030E+08   1.13655881E+08   1.13655881E+08
   3.04000000E-02   9.40252617E+07   8.97490031E+07   8.97490031E+07   1.17003825E+08   1.09658357E+08   1.09658357E+08
   3.06000000E-02   9.06890248E+07   8.65222113E+07   8.65222113E+07   1.13073541E+08   1.05792117E+08   1.05792117E+08
   3.08000000E-02   8.74664956E+07   8.34075582E+07   8.34075582E+07   1.09265762E+08   1.02053335E+08   1.02053335E+08
   3.10000000E-02   8.43540288E+07   8.04013407E+07   8.04013407E+07   1.05577139E+08   9.84382727E+07   9.84382727E+07
   3.12000000E-02   8.13480837E+07   7.74999673E+07   7.74999673E+07   1.02004392E+08   9.49432744E+07   9.49432744E+07
   3.14000000E-02   7.84452219E+07   7.46999554E+07   7.46999554E+07   9.85443063E+07   9.15647692E+07   9.15647692E+07
   3.16000000E-02   7.56421054E+07   7.19979286E+07   7.19979286E+07   9.51937355E+07   8.82992696E+07   8.82992696E+07
   3.18000000E-02   7.29354935E+07   6.93906142E+07   6.93906142E+07   9.19496003E+07   8.51433713E+07   8.51433713E+07
   3.20000000E-02   7.03222416E+07   6.68748403E+07   6.68748403E+07   8.88088879E+07   8.20937521E+07   8.20937521E+07
   3.22000000E-02   6.77992979E+07   6.44475335E+07   6.44475335E+07   8.57686523E+07   7.91471712E+07   7.91471712E+07
   3.24000000E-02   6.53637019E+07   6.21057158E+07   6.21057158E+07   8.28260134E+07   7.63004685E+07   7.63004685E+07
   3.26000000E-02   6.30125819E+07   5.98465028E+07   5.98465028E+07   7.99781567E+07   7.35505636E+07   7.35505636E+07
   3.28000000E-02   6.07431527E+07   5.76671007E+07   5.76671007E+07   7.72223326E+07   7.08944545E+07   7.08944545E+07
   3.30000000E-02   5.85527138E+07   5.55648038E+07   5.55648038E+07   7.45558560E+07   6.83292171E+07   6.83292171E+07
   3.32000000E-02   5.64386468E+07   5.35369924E+07   5.35369924E+07   7.19761054E+07   6.58520034E+07   6.58520034E+07
   3.34000000E-02   5.43984135E+07   5.15811301E+07   5.15811301E+07   6.94805222E+07   6.34600408E+07   6.34600408E+07
   3.36000000E-02   5.24295537E+07   4.96947618E+07   4.96947618E+07   6.70666104E+07   6.11506310E+07   6.11506310E+07
   3.38000000E-02   5.05296835E+07   4.78755109E+07   4.78755109E+07   6.47319349E+07   5.89211484E+07   5.89211484E+07
   3.40000000E-02   4.86964929E+07   4.61210776E+07   4.61210776E+07   6.24741216E+07   5.67690389E+07   5.67690389E+07
   3.42000000E-02   4.69277437E+07   4.44292365E+07   4.44292365E+07   6.02908559E+07   5.46918190E+07   5.46918190E+07
   3.44000000E-02   4.52212679E+07   4.27978342E+07   4.27978342E+07   5.81798821E+07   5.26870740E+07   5.26870740E+07
   3.46000000E-02   4.35749659E+07   4.12247875E+07   4.12247875E+07   5.61390025E+07   5.07524569E+07   5.07524569E+07
   3.48000000E-02   4.19868039E+07   3.97080814E+07   3.97080814E+07   5.41660763E+07   4.88856873E+07   4.88856873E+07
