# TBinMid=4.00279 ssec TBinWidth=8.69483 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   2.44000000E-02   5.78400289E+08   4.91829717E+08   4.91829717E+08   6.02785998E+08   5.87269147E+08   5.87269147E+08
   2.46000000E-02   5.62759481E+08   4.76274792E+08   4.76274792E+08   5.85648417E+08   5.71274428E+08   5.71274428E+08
   2.48000000E-02   5.47474495E+08   4.61181597E+08   4.61181597E+08   5.68921124E+08   5.55644438E+08   5.55644438E+08
   2.50000000E-02   5.32540494E+08   4.46538263E+08   4.46538263E+08   5.52598271E+08   5.40374357E+08   5.40374357E+08
   2.52000000E-02   5.17952523E+08   4.32333103E+08   4.32333103E+08   5.36673860E+08   5.25459234E+08   5.25459234E+08
   2.54000000E-02   5.03705530E+08   4.18554616E+08   4.18554616E+08   5.21141759E+08   5.10893997E+08   5.10893997E+08
   2.56000000E-02   4.89794373E+08   4.05191496E+08   4.05191496E+08   5.05995721E+08   4.96673469E+08   4.96673469E+08
   2.58000000E-02   4.76213832E+08   3.92232638E+08   3.92232638E+08   4.91229404E+08   4.82792382E+08   4.82792382E+08
   2.60000000E-02   4.62958624E+08   3.79667137E+08   3.79667137E+08   4.76836378E+08   4.69245390E+08   4.69245390E+08
   2.62000000E-02   4.50023412E+08   3.67484299E+08   3.67484299E+08   4.62810149E+08   4.56027080E+08   4.56027080E+08
   2.64000000E-02   4.37402816E+08   3.55673637E+08   3.55673637E+08   4.49144167E+08   4.43131982E+08   4.43131982E+08
   2.66000000E-02   4.25091420E+08   3.44224874E+08   3.44224874E+08   4.35831842E+08   4.30554583E+08   4.30554583E+08
   2.68000000E-02   4.13083785E+08   3.33127948E+08   3.33127948E+08   4.22866555E+08   4.18289336E+08   4.18289336E+08
   2.70000000E-02   4.01374453E+08   3.22373009E+08   3.22373009E+08   4.10241667E+08   4.06330666E+08   4.06330666E+08
   2.72000000E-02   3.89957960E+08   3.11950423E+08   3.11950423E+08   3.97950534E+08   3.94672984E+08   3.94672984E+08
   2.74000000E-02   3.78828838E+08   3.01850768E+08   3.01850768E+08   3.85986513E+08   3.83310691E+08   3.83310691E+08
   2.76000000E-02   3.67981626E+08   2.92064835E+08   2.92064835E+08   3.74342975E+08   3.72238190E+08   3.72238190E+08
   2.78000000E-02   3.57410875E+08   2.82583628E+08   2.82583628E+08   3.63013310E+08   3.61449888E+08   3.61449888E+08
   2.80000000E-02   3.47111155E+08   2.73398361E+08   2.73398361E+08   3.51990936E+08   3.50940208E+08   3.50940208E+08
   2.82000000E-02   3.37077059E+08   2.64500458E+08   2.64500458E+08   3.41269307E+08   3.40703589E+08   3.40703589E+08
   2.84000000E-02   3.27303209E+08   2.55881551E+08   2.55881551E+08   3.30841919E+08   3.30734501E+08   3.30734501E+08
   2.86000000E-02   3.17784261E+08   2.47533475E+08   2.47533475E+08   3.20702317E+08   3.21027442E+08   3.21027442E+08
   2.88000000E-02   3.08514910E+08   2.39448270E+08   2.39448270E+08   3.10844100E+08   3.11576945E+08   3.11576945E+08
   2.90000000E-02   2.99489893E+08   2.31618176E+08   2.31618176E+08   3.01260928E+08   3.02377587E+08   3.02377587E+08
   2.92000000E-02   2.90703992E+08   2.24035629E+08   2.24035629E+08   2.91946523E+08   2.93423988E+08   2.93423988E+08
   2.94000000E-02   2.82152042E+08   2.16693263E+08   2.16693263E+08   2.82894678E+08   2.84710817E+08   2.84710817E+08
   2.96000000E-02   2.73828930E+08   2.09583901E+08   2.09583901E+08   2.74099257E+08   2.76232796E+08   2.76232796E+08
   2.98000000E-02   2.65729597E+08   2.02700555E+08   2.02700555E+08   2.65554200E+08   2.67984704E+08   2.67984704E+08
   3.00000000E-02   2.57849044E+08   1.96036422E+08   1.96036422E+08   2.57253529E+08   2.59961378E+08   2.59961378E+08
